,nace_code,level,description
543,46.4,3,Wholesale of household goods
544,46.41,4,Wholesale of textiles
545,46.42,4,Wholesale of clothing and footwear
546,46.43,4,Wholesale of electrical household appliances
547,46.44,4,Wholesale of china and glassware and cleaning materials
548,46.45,4,Wholesale of perfume and cosmetics
549,46.46,4,Wholesale of pharmaceutical goods
550,46.47,4,"Wholesale of furniture, carpets and lighting equipment"
551,46.48,4,Wholesale of watches and jewellery
552,46.49,4,Wholesale of other household goods
553,46.5,3,Wholesale of information and communication equipment
554,46.51,4,"Wholesale of computers, computer peripheral equipment and software"
555,46.52,4,Wholesale of electronic and telecommunications equipment and parts
556,46.6,3,"Wholesale of other machinery, equipment and supplies"
557,46.61,4,"Wholesale of agricultural machinery, equipment and supplies"
558,46.62,4,Wholesale of machine tools
559,46.63,4,"Wholesale of mining, construction and civil engineering machinery"
560,46.64,4,Wholesale of machinery for the textile industry and of sewing and knitting machines
561,46.65,4,Wholesale of office furniture
562,46.66,4,Wholesale of other office machinery and equipment
563,46.69,4,Wholesale of other machinery and equipment
564,46.7,3,Other specialised wholesale
565,46.71,4,"Wholesale of solid, liquid and gaseous fuels and related products"
566,46.72,4,Wholesale of metals and metal ores
567,46.73,4,"Wholesale of wood, construction materials and sanitary equipment"
568,46.74,4,"Wholesale of hardware, plumbing and heating equipment and supplies"
569,46.75,4,Wholesale of chemical products
570,46.76,4,Wholesale of other intermediate products
571,46.77,4,Wholesale of waste and scrap
572,46.9,3,Non-specialised wholesale trade
573,46.90,4,Non-specialised wholesale trade
574,47,2,"Retail trade, except of motor vehicles and motorcycles"
575,47.1,3,Retail sale in non-specialised stores
576,47.11,4,"Retail sale in non-specialised stores with food, beverages or tobacco predominating"
577,47.19,4,Other retail sale in non-specialised stores
578,47.2,3,"Retail sale of food, beverages and tobacco in specialised stores"
579,47.21,4,Retail sale of fruit and vegetables in specialised stores
580,47.22,4,Retail sale of meat and meat products in specialised stores
581,47.23,4,"Retail sale of fish, crustaceans and molluscs in specialised stores"
582,47.24,4,"Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores"
583,47.25,4,Retail sale of beverages in specialised stores
584,47.26,4,Retail sale of tobacco products in specialised stores
585,47.29,4,Other retail sale of food in specialised stores
586,47.3,3,Retail sale of automotive fuel in specialised stores
587,47.30,4,Retail sale of automotive fuel in specialised stores
